"","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"129",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","Army","YOUNG",0.884386200942867,0.752459987413477
"130",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","Navy","YOUNG",0.0310647383320238,NA
"131",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","Air Force","YOUNG",0.0588902718599169,0.02158233369243
"132",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","DLA","YOUNG",0.0558723648333146,0.0512958522804654
"133",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","MDA","YOUNG",2.83488607026602e-05,NA
"134",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Land Vehicles","Additional
DoD
Components","YOUNG",0.00132018071612976,NA
"135",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","Army","YOUNG",0.299755554731171,0.133625960365922
"136",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","Navy","YOUNG",0.0768171951172971,NA
"137",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","Air Force","YOUNG",0.0827151473453811,0.147771342138627
"138",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","DLA","YOUNG",0.0390742006622517,NA
"139",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","MDA","YOUNG",0.0149075070153777,0.0328492763581336
"140",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Missile and Space Systems","Additional
DoD
Components","YOUNG",0.00170023908407229,NA
"141",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Products","Army","YOUNG",1.85468584306881,0.746077122127438
"142",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Products","Navy","YOUNG",0.318266909484791,NA
"143",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Products","Air Force","YOUNG",0.160895047794365,0.0554590686567663
"144",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Products","DLA","YOUNG",2.12899159809182,0.724989403011302
"145",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Products","Additional
DoD
Components","YOUNG",0.0106186871702772,0.00457677805227874
"146",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","Army","YOUNG",1.91219893245033,0.880702771983388
"147",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","Navy","YOUNG",1.02568846421596,0.483081435311857
"148",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","Air Force","YOUNG",0.689438986788641,0.309115788281513
"149",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","DLA","YOUNG",0.0348546662476148,NA
"150",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","MDA","YOUNG",0.00411462810640925,0.0136315714605161
"151",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","Military
Health","YOUNG",4.47255584240656e-05,-4.75108157952293e-05
"152",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other R&D and Knowledge Based","Additional
DoD
Components","YOUNG",0.18726102540128,NA
"153",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","Army","YOUNG",0.280001888438658,0.136655526916601
"154",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","Navy","YOUNG",0.246106499214278,0.146383655486961
"155",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","Air Force","YOUNG",0.250357602166349,0.189683263961537
"156",2007-09-30,"Q4",2007-09-30,0.917808219178082,"Other Services","DLA","YOUNG",0.00449858465596588,0.0020775619261421
