"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3860",2009-10-01,2009-12-31,"Q1",2010-09-22,1,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00766446051561831,0.0517902877550437
"3861",2009-11-01,2009-12-31,"Q1",2010-09-22,1.08493150684932,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0188703831942662,0.0515472133900524
"3862",2009-12-01,2009-12-31,"Q1",2010-09-22,1.16712328767123,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.021755143271288,0.0160966623270575
"3863",2010-02-01,2010-03-31,"Q2",2010-09-22,1.33698630136986,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0327390605156183,0.0244548623270575
"3864",2010-03-01,2010-03-31,"Q2",2010-09-22,1.41369863013699,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0203585237376979,0.0249509091748681
"3865",2010-04-01,2010-06-30,"Q3",2010-09-22,1.4986301369863,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0191511609007274,0.0240829150513479
"3866",2010-05-01,2010-06-30,"Q3",2010-09-22,1.58082191780822,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0282445718335473,0.0225847521573242
"3867",2010-06-01,2010-06-30,"Q3",2010-09-22,1.66575342465753,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.0260669045357296,0.0244875457566681
"3868",2010-07-01,2010-09-30,"Q4",2010-09-22,1.74794520547945,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.029037196940522,0.0277828911032663
"3869",2010-09-01,2010-09-30,"Q4",2010-09-22,1.91780821917808,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.158340067190843,0.0711480562223648
"3870",2010-10-01,2010-12-31,"Q1",2011-09-30,2,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00196555347251364,0.0631142725346262
"3871",2010-12-01,2010-12-31,"Q1",2011-09-30,2.16712328767123,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00567917555602182,0.0553282654064595
"3872",2011-02-01,2011-03-31,"Q2",2011-09-30,2.33698630136986,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00358131975451112,0.00374201626101553
"3873",2011-03-01,2011-03-31,"Q2",2011-09-30,2.41369863013699,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00446007161141418,0.00457352230731571
"3874",2011-04-01,2011-06-30,"Q3",2011-09-30,2.4986301369863,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00253379530004196,0.00352506222198909
"3875",2011-07-01,2011-09-30,"Q4",2011-09-30,2.74794520547945,"Facilities and Construction","Additional
DoD
Components","CARTER
pre-BBP",0.00193382173730592,0.00297589621625402
