"","SignedMonth","Vendor.Size.sum","SubCustomer.component","USDATL","Obligation.2014","MovingAverage"
"230",2010-12-01,"Large","Navy","YOUNG",0.480927436634494,0.313168760078333
"231",2011-01-01,"Large","Navy","YOUNG",0.224123793789341,0.30380870622115
"232",2011-02-01,"Large","Navy","YOUNG",0.16731791641838,0.290789715614072
"233",2011-03-01,"Large","Navy","YOUNG",0.383502663711708,0.258314791306476
"234",2011-04-01,"Large","Navy","YOUNG",0.161285333497692,0.237368637875927
"235",2011-05-01,"Large","Navy","YOUNG",0.268978787819975,0.271255595009792
"236",2011-06-01,"Large","Navy","YOUNG",0.290385020992446,0.240216380770038
"237",2011-07-01,"Large","Navy","YOUNG",0.175879553692824,0.245081120835082
"238",2011-08-01,"Large","Navy","YOUNG",0.357322018873269,0.274528864519513
"239",2011-09-01,"Large","Navy","YOUNG",0.290019266921947,0.274406946496013
"240",2011-10-01,"Large","Navy","YOUNG",0.0932194014004737,0.246853562398563
"241",2011-11-01,"Large","Navy","YOUNG",0.55980885060241,0.314349172974943
"242",2011-12-01,"Large","Navy","YOUNG",0.20423552712388,0.285754593042254
"243",2012-01-01,"Large","Navy","YOUNG",0.302404703408506,0.355483027044932
"244",2012-02-01,"Large","Navy","YOUNG",0.781513349747709,0.429384526760032
"245",2012-03-01,"Large","Navy","YOUNG",0.184331894058284,0.422749982404833
"246",2012-04-01,"Large","Navy","YOUNG",0.158032949624138,0.37462606447671
"247",2012-05-01,"Large","Navy","YOUNG",0.164364329245186,0.168909724309203
"248",2012-06-01,"Large","Navy","YOUNG",0.0666094601585831,0.129668913009302
"249",2012-07-01,"Large","Navy","YOUNG",0.15966952300484,0.130214437469536
"250",2012-08-01,"Large","Navy","YOUNG",0.309487350375862,0.178588777846428
"251",2012-09-01,"Large","Navy","YOUNG",0.3186336437751,0.262596839051934
"252",2012-10-01,"Large","Navy","YOUNG",0.0699400525872855,0.232687015579416
"253",2012-11-01,"Large","Navy","YOUNG",0.649172263019904,0.345915319794097
"254",2012-12-01,"Large","Navy","YOUNG",0.113239324143394,0.277450546583528
"255",2013-01-01,"Large","Navy","YOUNG",0.0323183254380014,0.2649099708671
